Search_method Problem Max_evals Run Score
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 0 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 1 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 2 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 3 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 4 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 5 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 6 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 7 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 8 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 9 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 10 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 11 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 12 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 13 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 14 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 15 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 16 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 17 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 18 1440N
mutate_pop-100_survivor-25 knapPI_11_20_1000_4 100000 19 1440N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 0 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 1 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 2 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 3 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 4 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 5 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 6 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 7 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 8 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 9 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 10 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 11 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 12 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 13 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 14 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 15 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 16 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 17 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 18 907N
mutate_pop-100_survivor-25 knapPI_13_20_1000_4 100000 19 907N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 0 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 1 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 2 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 3 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 4 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 5 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 6 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 7 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 8 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 9 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 10 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 11 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 12 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 13 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 14 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 15 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 16 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 17 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 18 2893N
mutate_pop-100_survivor-25 knapPI_16_20_1000_4 100000 19 2893N
